Artist ID,Artist Name,Track ID,Track Name,Popularity Score
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,2qG5sZ7Si6sdK74qLxedYM,Con Altura,87
7d3WFRME3vBY2cgoP38RDo,Lil Skies,0Goo25lbtpwor5vb0K2r21,Nowadays Pt. 2 (feat. Landon Cube),75
3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),75
4sTQVOfp9vEMCemLw50sbu,Galantis,1pfgsjmxVZhoZpeDx6POKv,Bones (feat. OneRepublic),84
1INuLZXjjVbcJRyWvD1iSq,Jack & Jack,4cZ3UsiKd1kUQIaq4BFIj2,No One Compares To You,79
53KwLdlmrlCelAZMaLVZqU,James Blake,4cQrSREMqBSvJ8ZzBZjVb8,Mile High (feat. Travis Scott & Metro Boomin),77
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,4TWflhgevIGo448fWc6mQq,Red Room,76
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,1XJ93XskwJf7PCyIVLbNBt,Anxiety (with Selena Gomez),81
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,5BDP2tky8oMQJPS33frKVp,Un Año,91
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,7KVPsVMOK3NL7subwJ0dZj,Who You Foolin,74
4EzkuveR9pLvDVFNx6foYD,James Bay,4JWQC6gyYoPRnxRxk0ta2M,Peer Pressure (feat. Julia Michaels),82
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,5wJyLntSyi1FLpvhCm9FJD,Baila Baila Baila - Remix,55
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,3usM520kfIRpWNaYOwdnYI,Rider,74
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,32h6yQGn4oAhZ0HRsTMX26,CROWN,82
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,6ERR6e7h6wCqGoz1TjiUJb,Knockin' Boots,72
4r63FhuTkUYltbVAg5TQnk,DaBaby,7f1zjZG77S891Uv4O68yfk,Baby Sitter (feat. Offset),73
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,4Tvw0lweq9l2JPQKFbpbBQ,Better When You're Gone,85
7CajNmpbOovFoOoasH2HaY,Calvin Harris,24N6IEDiZPQXhfHcYiSjxP,How Deep Is Your Love,2
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,4BOikd4oZjOYMde9AXfrTo,Feels,76
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,7cLm450e9XaPrEZTSTsfwU,it's not u it's me,76
7rkW85dBwwrJtlHRDkJDAC,NAV,3KkWGDCb6byHjNYjxBihGK,Habits,74
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,01DOm09B2AbiTARAbXVI6g,CHopstix (with Travis Scott),73
56oDRnqbIiwx4mymNEv7dS,Lizzo,4LRKHjC3WH5AKZSGZzlnGk,Tempo (feat. Missy Elliott),75
1qto4hHid1P71emI6Fd8xi,Aventura,2swZ0X1njeU32SNJeBKIfW,Inmortal,77
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,0rhxoXFMKRtm1dQJfi72Yh,No Heart,73
1RyvyyTE3xzB2ZywiAwp0i,Future,1I3ZAmPmbFV78oNKnibOiW,Jumpin on a Jet,74
2FXC3k01G6Gw61bmprjgqS,Hozier,2e9N4vHYVUwSwRorBzsZXE,Almost (Sweet Music),73
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,2BkyYZmU4JuWW2sYi9EzpC,7 Minutes,83
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,4yoQbSPoj8H3O8M3EKvC74,Won’t Let Go,73
47MpMsUfWtgyIIBEFOr4FE,Lunay,4T4CZ3Q4z3GG7lU720YYhM,Soltera,88
